sid,rep,cs_p,cs_b,or_p,or_b,pr_p,pr_b,rc_p,rc_b,nn_p,nn_b
1,68,0.017243269235096646,-0.28598430767068467,0.03139751312128696,-0.26614271713101917,0.04854784869628377,-0.23565227814415976,0.043748787688328336,-0.2408602579926486,0.046576305474560244,-0.23796206234076256
1,69,0.008253039917154158,-0.3157399640121143,0.001745425290709505,-0.3843734760827858,0.0003424575356260745,-0.4233653526611211,0.0009679699105896462,-0.38968318508822364,0.0028115209673339756,-0.35391776480647313
1,70,0.03921763374567613,-0.2557274347674638,0.00111001031643007,-0.4289941456736471,0.08048301594813843,-0.21141346158663957,0.014723974891729996,-0.2960693288666666,0.014738486619569733,-0.2967769515656087
1,71,0.0104950513329041,-0.315027455066116,7.90000074237069e-05,-0.4979698563531731,0.00033339526488208036,-0.4280612296694713,0.000209234747174833,-0.44287260448755034,0.00025347839748045904,-0.43725732808932016
1,72,0.03401278044693653,-0.2587542910786658,0.0005410039201530712,-0.43706696284850916,0.003403641735054341,-0.355536004395598,0.000435208286760488,-0.4306655421652858,0.0007899426126760026,-0.4088463350507765
1,73,0.003296589102425019,-0.34753126490087805,0.06814027169427617,-0.22167948897289802,0.07044638500922883,-0.21238008939469583,0.0631411437369549,-0.21800809798995105,0.09497028339859975,-0.19595898680925458
1,74,0.6453567852451846,-0.05457256883227615,0.029368406482634425,-0.26627634043965187,0.18637421887974526,-0.15429242717871686,0.03488801236408818,-0.24844596866261587,0.3171400652589205,-0.11673118591158863
1,75,0.11179378660824603,-0.20120393281563967,0.0015089610023710598,-0.41248722364615176,0.0050225997269491484,-0.339712900732939,0.004015969889702343,-0.3485118387198932,0.005977129597206662,-0.33389559831114823
1,76,0.07317551835815866,-0.21608147854630166,0.003490792645348387,-0.376708530680377,0.0018242150456601,-0.3710593713977388,0.0012404071827945534,-0.3851030495203724,0.015340081776561461,-0.287387979248422
1,77,0.8758555802580894,0.019140832011100666,0.4197138309587666,-0.09943320380720698,0.46867459921797694,-0.08652576383179515,0.3534221519054809,-0.11070135487844975,0.3315768386380306,-0.11586027118628144
1,78,0.09933815137254423,-0.19932091899907475,0.07050982726491356,-0.22074516921570111,0.13602561612382286,-0.1770680032394051,0.06236528902840093,-0.22186200518519045,,
1,79,0.9000298242579858,-0.015166111516636419,0.09208443405906719,-0.21117737180463966,0.12890605596820695,-0.18049534444076828,0.06854200716555946,-0.2169444202464743,0.08846139561591253,-0.2023836294938765
1,80,0.0002941872544667283,-0.4470762939079393,4.210902750801228e-06,-0.5886111812529461,0.00015690606122133855,-0.4540134373194076,2.805632227156604e-05,-0.5051209598065272,7.966273424302066e-05,-0.47576167588621643
1,81,0.10124871038081705,-0.1943161138716267,0.18115465061849878,-0.16088981213699258,0.17582878655497275,-0.1589701977554295,0.2071511151905008,-0.14814056326571745,0.31910652678717,-0.11711511902993321
1,82,0.013594464329453984,-0.30192537471854203,4.3082040764772964e-05,-0.5209062771554813,0.0037812663562901104,-0.35100297271773223,0.00022150223042657175,-0.45230143564370084,8.654386553151837e-05,-0.4818469245569809
1,83,0.0005569265718101743,-0.43292334201917576,0.0021744584756773202,-0.3958853753227185,0.0007373158364371172,-0.41216905093302736,0.001716330755408185,-0.38242518731732106,0.000981721705437643,-0.4021478901113072
